AnimalName,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous
Dog,Fever,Diarrhea,Vomiting,Weight loss,Dehydration,Yes
Dog,Fever,Diarrhea,Coughing,Tiredness,Pains,Yes
Dog,Fever,Diarrhea,Coughing,Vomiting,Anorexia,Yes
Dog,Fever,Difficulty breathing,Coughing,Lethargy,Sneezing,Yes
Dog,Fever,Diarrhea,Coughing,Lethargy,Blue Eye,Yes
Dog,Fever,Respiratory distress,Seizuers,Hyperesthesia,Sudden death,Yes
Dog,Ulcers,Diarrhea,Poor Appetite,Tarry Stool,Enlarged lymph nodes,Yes
Dog,Facial Swelling,Bloody Drool,Foul Breath,Unable To Eat,Lossened Teeth,Yes
Dog,Fever,Difficulty breathing,Thrist and urination,Weight loss,Enlarged lymph nodes or Swelling,Yes
Dog,Swelling on leg,Painfull,Nasal Discharge,Broken Bones,Nasal Discharge,Yes
Dog,Short term lethargy,Loss of  appetite,Weekness in the back legs,Rapid Heart Rate,Week pulse,Yes
Dog,Swollen lymph nodes,Difficulty walking,Back Pain,Lethargy,Vaginal Discharge,Yes
Dog,Fever,Diarrhea,Abdominal pain,Stiffness,Severe weekness and depression,Yes
Dog,Fever,Loss of  appetite,Reduce Energy,Lameness,Swelling of joints,Yes
Dog,Fever,Chronic eye inflamation,Poor Appetite,Lethargy,Neurologic abnormalities,Yes
Dog,Fever,Swelling of face or leg,Poor Appetite,Depression,Pains,Yes
Dog,Diarrhea with muscus,Tensemus,Watery Stool,Flatulence,Pains,Yes
Dog,Strong cough,Runny nose,Sneezing,Lethargy,Loss of appettite,Yes
Dog,Fever,Inflammed eye,Coughing,Depression,Limping,Yes
Dog,Fever,Difficulty breathing,Coughing,Eye and Skin change,Unable to exercise,Yes
Dog,Fever,Loss of  appetite,Coughing,Lethargy,Joint Pain,Yes
Dog,Lesions in the nasal cavity,Lesions on nose,Nose Bleeds,Noisy Breathing,Lesions on nose,Yes
Dog,Hair loss,Dandruff,Darkened skin,Crusting of the skin,Ulcerated skin,Yes
Dog,Greenish-yellow nasal discharge,Lack of pigmentation,Sneezing,Lethargy,Pain on face,Yes
Dog,Fever,Diarrhea,Poor Appetite,Weight loss,Vomitting,Yes
Dog,Jaundice,Pneumonia ,Lession on the skin,pain ,Vomitting,Yes
Dog,Poor coat apperence ,Diarrhea,Vomiting,Weight loss,Dehydration,Yes
Dog,Watering,No appp,Vomiting,Lethargy,Dehydration,Yes
Dog,Straining,Diarrhea,Vomiting,Weight loss,Blindness,Yes
Dog,Upset stomach,Diarrhea,Vomiting,Muscle pain,Muscle stiffness,Yes
Dog,Upset stomach,Diarrhea,Coughing,Weight loss,Anaemia,Yes
Dog,Allergic Reaction,Poor appetite,Coughing,Weight loss,Distended chest,Yes
Dog,Fever,Anoxeria,Weight loss,Lethargy,Pain,Yes
Dog,Limping,Willnot run to jump,Swelling ,Week legs,Pain on leg,Yes
cat,Fever,Eye ulcer,Congestion,Depression,Pink eye,Yes
cat,Pnemonia,Loss of  appetite,Eye disharge,Lameness,Arthritis,Yes
cat,Fever,Seizures,Hydrophobia,Jaw is dropped,Shyness or aggression,Yes
cat,Bloody Urine,Diffculty breathing,Vomiting,Weight loss,Anorexia,Yes
cat,Loss of eat,Difficulty in breathing,Swelling ,Lameness,Neurologic abnormalities,Yes
cat,Dark or black face,Diarrhea,Vomiting,Blood in faces,Pain,Yes
cat,Jaundice,Difficulty in breathing,Seizuers,Lethargy,Pale gums,Yes
cat,Appetite varies,Diarrhea,Vomiting,Weight loss,Pain,Yes
cat,Loss of eat,Fell unwell,Lethargy,Weight loss,Skin issue,Yes
cat,Sickness,Loss of  appetite,Vomiting,Weight loss,Raised growth or bump,Yes
cat,Nasal Bleeding,Diffulty chewing,Swelling ,Weight loss,Anorexia,Yes
cat,Ulcers,Lesions ,Scabs,Lumps,"Bumps(black,grey or red)",Yes
cat,Gasc,Loss of  appetite,Blood in stool,Stomach growling,Black stool,Yes
cat,Shaking head,Scartching ear,Black on ear,Bad smell,Red and inflammation ear,Yes
cat,Attacks,Loss of  appetite,Coughing,Weight loss,Periodic vommiting,Yes
cat,Blood stool,Diarrhea,Coughing,Weight loss,Anemia,Yes
cat,Nasal discharge,Nosebleeds,inflamed nostrils,Sneezing,Lound breathing,Yes
cat,Polyuria,Loss of  appetite,Vomiting,Weight loss,Polydipsa,Yes
cat,Exessive Urination,Change in gait,Vomiting,Weight loss,Inability to jump,Yes
cat,Convulsion,Loss of consciousness,chewing,Twitching,Salivating,Yes
cat,Wheezing,Rapid Breathing,Coughing,Swallowing,Effort to breath,Yes
cat,Jaundice,Weekness,Lethargy,Weight loss,Anorexia,Yes
cat,Lession on cat skin,Dandruff in cat coat,Red patches,Hair loss,Skin issue,Yes
cat,Lethargy,Diarrhea,Vomiting,Discharge from eye,Anorexia,Yes
cat,Skin irritation,Scartching,Lethargy,Hair loss,Excessive grooming,Yes
cat,Floopy muscle,Speech delay,Intellectual disability,Walking problem,Eye movements,Yes
cat,Sensitivity to bright light,Disharge from affected eye,Inflammation,Clouded cornea,Rubbing eye,Yes
cat,Fever,Diarrhea,Vomiting,Cramps,Dehydration,Yes
cat,Tenderness,Erythema,Swelling ,Scartch,Pain,Yes
cat,Fever,Diarrhea,Vomiting,Salivation,Decrease appetite,Yes
cat,Scaly patches of skin,Sore,Scabs,Scartch,Hair loss,Yes
cat,Fatty stool,Diarrhea,Vomiting,Weight loss,Pain,Yes
cat,Nausea,Loss of appetite,Vomiting,Firm,Distended stomach,Yes
cat,Fever,Swelling  in the bite area,Lethargy,Limp,Pain,Yes
cat,Fever,Loss of appetite,Eyeproblem,Liver disease,Nuerological,Yes
cat,Fever,Mild sneezing,Coughing,Nasal,Ocular discharge,Yes
Rabbit,Most often none,Sneezing,Nasal Discharge,Dyspnea,Pain,Yes
Rabbit,Fever,Diarrhea,Vomiting,Blood from mouth,Shock,Yes
Rabbit,Discomfort,Diarrhea,Dry or dull hair,Grinding teeth,Pain,Yes
Rabbit,Loss of appetite,Swelling,Nasal Discharge,Blindness,Lethargy,Yes
Rabbit,Rhinitis,Pneumonia ,abscessess,Torticollis,Septicemia,Yes
Rabbit,Fever,Diarrhea,Enteritis,Weight loss,Stomach  cramps,Yes
Rabbit,Immediate death,Difficulty in breathing,Blue colored lip,Bloody discharge,Neurologic abnormalities,Yes
Rabbit,Fever,Pox lession on skin,Skin reashes,Nasal discharge,Mortality varies,Yes
Rabbit,Red on affected area,Horny growth,Wart-like growth,Red skin,Lesions on ear,Yes
Rabbit,Fever,Chills,Skin ulcer,Exhaustion,Swollen and painfull,Yes
Rabbit,Watering Diarrhea,Depression,Emaciation,Ruffled Coat,Lethargy,Yes
cow,loss in weight,emaciation,loss of appetite,Weakness,diarrhoea,Yes
chicken,loss of appetite,diarrhea,swollen purple wattle,Swollen comb,Lameness,Yes
chicken,loss of appetite,diarrhea,ruffled feathers,Weight loss,Inability to absorb nutrients,Yes
chicken,egg production decreases,stunted growth,Blindness,Distinctive bumps,Facial swelling,Yes
chicken,loss of appetite,thirst,ruffled feathers,Closed eyes,Diarrhea,Yes
cow,Fever,weakened legs,los of the ability to walk,Mammary glads,Fluif filled blisters,Yes
cow,Fever,weakened legs,los of the ability to walk,Weight loss,Lameness,Yes
cattle, abortion at the end of gestation,Fatigue,weak calves,Join pains,Swelling of internal organs,Yes
mammal,swollen,red-colored ,hot udder,Milk getting out more watery,Milk getting out more thick,Yes
Cattle,Fever,Distress,Trembling,Staggering,Convulsion,Yes
Cattle,Fever,Animal become lame,Prostrat,Painfull Swalling,Lameness,Yes
Cattle,Fever,Difficulty in breathing,Dribbling of saliva,Inability of Swalllon Feeding,Moist and painfull,Yes
Cattle,Fluif Faeces on blood and muscle,Sudden Death,Blooody Fluid,Red Diarrhea,Faeces are streake with blood,Yes
Cattle,Fever,Pneumonia ,Stand with head droping,Weight loss,Abnormal behaviour,Yes
Cattle,Fever,Slightly Swollen,Lession on the skin,Milky Hard,Papules appear on teats anad udder,Yes
Cattle,Fever,Dull,Hind quarted soil,Animal stop feed,Decrease in milk production,Yes
Cattle,Severe,Diarrhea,Blood on faces,Appetite,Milk reduce,Yes
Cattle,Fever,Depression,Relunctance to move,Salivation,Nasal Discharge,Yes
Cattle,Normal appetite,Diarrhea,Swelling may occur under jaw,Weight loss,Drop in milk production,Yes
Cattle,Swelling on leg,Heat,Hardness,Redness,Pain,Yes
Cattle,Inability to stand ,Diarrhea,Bottle Jaw,Pot belly,Dry Hair coat,Yes
Cattle,Excitability,Nervousness,loss of appetite,Hyper sensitivity,Weakness,Yes
Cattle,Fever,Depression,Attack,Bite other animals,Pain,Yes
Cattle,Fever,Difficulty in breathing,Coughing,Painfull,Eye become dull,Yes
Cattle,Fever,Ulcer on gum,Red eye,Yellowish Discharge,Bloody Diarrhea,Yes
Cattle,Fever,Diarrhea,Coughing,Consistency of milk,Pain,Yes
Cattle,Animal gets uneasy,Difficulty in breathing,Difficult in respiration,Excessive production,Stamping And pedding of hind eye,Yes
Horse,Fever,Chills,Severe colic,Weakness,Anorexia,Yes
Horse,Fever,Body stiffness,Lethargy,Severe inflammation,Pain,Yes
Horse,Sickness,Diarrhea,Weight loss,Nausea,Dehydration,Yes
Horse,Sudden death,Trouble walking,Paralysis,Depression,Convulsion,Yes
Horse,Fever,Abortion,Kidney failure,Inflammation of eye,Eye redness,Yes
Horse,Small red bumps,Pneumonia ,Septic Arthritis,Skin infection,Pain,Yes
Horse,Fever,Ataxia,Aggressiveness,Depression,Obscure Lameness,Yes
Horse,Ring shaped Lesion,Round patches,Dry skin,Size of lesions vary,Pain,Yes
Horse,Fever,Diarrhea,loss of appetite,Colic,Weakness,Yes
Horse,Fever,Depression,loss of appetite,Stumbling,Ataxia,Yes
Turtle,Bubbles in the mouth,Wheezing,loss of appetite,Lethargy,Nasal Discharge,Yes
Turtle,Changes in outer layer skin,Swelling of eye,loss of appetite,Lethargy,Respiratory infection,Yes
Turtle,Red Tinge,Slim over the shell,Bad smell,Easily damage shell,Flaking of the Scutes,Yes
Turtle,Passing of undigested food,Diarrhea,Vomiting,Gas or bloating,Dehydration,Yes
Hamster,Smell,Diarrhea,loss of appetite,Excess sleeping,Folded Ears,Yes
Hamster,Loss of activity,Rough coat,loss of appetite,Weight loss,Eventually death,Yes
Hamster,Fever,Diarrhea,Vomiting,Dehydration,Pain,Yes
Hamster,Bald patches,Hair loss,Crusty,Flaky,Red lesion from bald patches,Yes
Hamster,Poor condition,Enlarged lymph nodes,Diarrhea,Weight loss,Pain,Yes
Hamster,Fever,Chills,Coughing,Progressive weakness,Joint Pain,Yes
Hamster,Heavy infection,Diarrhea,Vitamin and minerals defiency,Weight loss,Pain,Yes
Lion,Fever,Diarrhea,Muscle weakness,Muscle pain,Abdonormal discomfort,Yes
Lion,Fever,Chills,Headache,Nausea,Pain,Yes
Lion,Thicked skin,Hair tining,Hair loss,Scabbing,Itchiness,Yes
Lion,Facial edema,Loss of earing,Vomiting,Head ache,Throat and Ear pain,Yes
Lion,General malaise,Hepatic failure,Vomiting,Weight loss,Abdonormal pain,Yes
Lion,Upset stomach,Loss of appetite,Nause,Weight loss,Abdonormal pain,Yes
Lion,Fever,Muscle Loss,Skeleten pain,Weight loss,Wasting,Yes
Lion,Oedema,Swelling of face or leg,Swelling of neck,Weight loss,Pain,Yes
Lion,Poor growth,Short stature,Enlargement of bones,Lameness,Weigth bearing long bones,Yes
